data;valor;dia;mes;ano;ano_mes
01/01/2014;142.72;1;1;2014;2014_1
01/02/2014;143.53;1;2;2014;2014_2
01/03/2014;149.03;1;3;2014;2014_3
01/04/2014;147.69;1;4;2014;2014_4
01/05/2014;147.14;1;5;2014;2014_5
01/06/2014;140.88;1;6;2014;2014_6
01/07/2014;149.85;1;7;2014;2014_7
01/08/2014;148.27;1;8;2014;2014_8
01/09/2014;148.12;1;9;2014;2014_9
01/10/2014;149.7;1;10;2014;2014_10
01/11/2014;144.92;1;11;2014;2014_11
01/12/2014;145.48;1;12;2014;2014_12
01/01/2015;138.73;1;1;2015;2015_1
01/02/2015;136.55;1;2;2015;2015_2
01/03/2015;149.5;1;3;2015;2015_3
01/04/2015;142.43;1;4;2015;2015_4
01/05/2015;139.81;1;5;2015;2015_5
01/06/2015;138.53;1;6;2015;2015_6
01/07/2015;143.15;1;7;2015;2015_7
01/08/2015;140.83;1;8;2015;2015_8
01/09/2015;138.07;1;9;2015;2015_9
01/10/2015;140.19;1;10;2015;2015_10
01/11/2015;135.93;1;11;2015;2015_11
01/12/2015;136.22;1;12;2015;2015_12
01/01/2016;128.26;1;1;2016;2016_1
01/02/2016;130.81;1;2;2016;2016_2
01/03/2016;140.29;1;3;2016;2016_3
01/04/2016;136.03;1;4;2016;2016_4
01/05/2016;133.56;1;5;2016;2016_5
01/06/2016;135.27;1;6;2016;2016_6
01/07/2016;136.7;1;7;2016;2016_7
01/08/2016;138.17;1;8;2016;2016_8
01/09/2016;133.88;1;9;2016;2016_9
01/10/2016;132.74;1;10;2016;2016_10
01/11/2016;132.37;1;11;2016;2016_11
01/12/2016;133.32;1;12;2016;2016_12
01/01/2017;128.47;1;1;2017;2017_1
01/02/2017;129.39;1;2;2017;2017_2
01/03/2017;141.9;1;3;2017;2017_3
01/04/2017;133.76;1;4;2017;2017_4
01/05/2017;135.99;1;5;2017;2017_5
01/06/2017;134.89;1;6;2017;2017_6
01/07/2017;138.43;1;7;2017;2017_7
01/08/2017;140.14;1;8;2017;2017_8
01/09/2017;134.85;1;9;2017;2017_9
01/10/2017;136.06;1;10;2017;2017_10
01/11/2017;135.08;1;11;2017;2017_11
01/12/2017;135.77;1;12;2017;2017_12
01/01/2018;132.12;1;1;2018;2018_1
01/02/2018;129.94;1;2;2018;2018_2
01/03/2018;141.57;1;3;2018;2018_3
01/04/2018;139.08;1;4;2018;2018_4
01/05/2018;132.29;1;5;2018;2018_5
01/06/2018;136.96;1;6;2018;2018_6
01/07/2018;141.08;1;7;2018;2018_7
01/08/2018;143.43;1;8;2018;2018_8
01/09/2018;135.78;1;9;2018;2018_9
01/10/2018;139.86;1;10;2018;2018_10
01/11/2018;137.67;1;11;2018;2018_11
01/12/2018;136.34;1;12;2018;2018_12
01/01/2019;133.57;1;1;2019;2019_1
01/02/2019;133.92;1;2;2019;2019_2
01/03/2019;139.04;1;3;2019;2019_3
01/04/2019;139.7;1;4;2019;2019_4
01/05/2019;139.41;1;5;2019;2019_5
01/06/2019;135.13;1;6;2019;2019_6
01/07/2019;143.15;1;7;2019;2019_7
01/08/2019;141.95;1;8;2019;2019_8
01/09/2019;138.33;1;9;2019;2019_9
01/10/2019;142.94;1;10;2019;2019_10
01/11/2019;138.88;1;11;2019;2019_11
01/12/2019;137.43;1;12;2019;2019_12
01/01/2020;133.92;1;1;2020;2020_1
